,CentralAir-conditioning,Age-Restricted,CommunityAssociation,Foundation,Condominium,Deck,DesignofHouse,Division,TypeofFinancing,FinishedBasement,Two-StoryFoyer,FramingMaterial,ParkingFacility,PrimarySpaceHeatingSystem,SecondSpaceHeatingSystem,LaundryLocation,MetropolitanArea,ConstructionMethod,Patio,Porch,SewageDisposalSystem,Stories,PrimaryExteriorWallMaterial,SecondaryExteriorWallMaterial,SecondaryExteriorWallMaterial,WaterSupplySource,Bedrooms,Fireplace,FullBathrooms,HalfBathrooms,SaleDate,Weight,PrimarySpaceHeatingFuel,SecondSpaceHeatingFuel,FinalSquareFootAreaofFinishedBasementatCompletionFlag,FinalSalesPriceFlag,FinalContractPriceFlag,FinalSquareFootAreaofHouseatCompletionFlag,PermitValueFlag,SalesPrice,FinalContractPriceatCompletion,FinalSalesPriceatCompletion,Permitvalue,SquareFootAreaofHouse,FinalSquareFootAreaofHouseatCompletion,LotValue,SquareFootAreaofFinishedBasement,FinalSquareFootAreaofFinishedBasementatCompletion,SquareFootAreaoftheLot
7003,1.0,2.0,2.0,1.0,2.0,1.0,1.0,6,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1,3.0,1.0,1.0,1,2.0,4.0,7.0,1.0,1.0,4.0,0.0,2.0,1.0,201809,27,2.0,1.0,0,0,0,0,0,360000.0,0,0,200000,2900.0,0,41000.0,0.0,0,21800.0
7080,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6,2.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,1,3.0,2.0,2.0,1,2.0,2.0,5.0,1.0,1.0,3.0,0.0,2.0,0.0,201903,29,1.0,1.0,0,0,0,0,0,200000.0,0,0,0,1400.0,0,17000.0,0.0,0,87120.0
7649,1.0,2.0,1.0,3.0,2.0,1.0,1.0,7,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,8.0,1.0,1.0,4.0,0.0,2.0,1.0,201805,27,1.0,1.0,0,0,0,0,0,325000.0,0,325000,0,3700.0,3700,52000.0,0.0,0,10100.0
8953,1.0,2.0,1.0,3.0,2.0,2.0,1.0,7,1.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,1,3.0,1.0,1.0,1,2.0,6.0,2.0,1.0,1.0,5.0,2.0,4.0,0.0,201705,115,2.0,2.0,0,0,0,0,0,463000.0,0,463000,263000,3800.0,3800,75000.0,0.0,0,7100.0
9157,1.0,2.0,1.0,3.0,2.0,2.0,1.0,7,1.0,0.0,2.0,1.0,3.0,2.0,4.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,7.0,1.0,1.0,4.0,2.0,3.0,1.0,201807,54,2.0,2.0,0,0,0,0,0,454000.0,0,0,0,3100.0,3100,50000.0,0.0,0,17400.0
10316,1.0,2.0,2.0,1.0,2.0,1.0,1.0,8,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1,3.0,1.0,1.0,1,2.0,3.0,8.0,1.0,1.0,4.0,1.0,2.0,1.0,201809,34,2.0,2.0,0,0,0,0,0,488000.0,0,0,0,2500.0,0,85000.0,0.0,0,9600.0
10655,1.0,2.0,2.0,1.0,2.0,1.0,1.0,8,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1,3.0,1.0,1.0,1,2.0,7.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,201709,55,2.0,2.0,0,0,0,0,0,448000.0,0,448000,311000,2500.0,2500,101000.0,0.0,0,9500.0
10804,1.0,2.0,2.0,1.0,2.0,1.0,1.0,8,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1,3.0,2.0,1.0,1,2.0,7.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,201711,47,2.0,2.0,0,0,0,0,0,445000.0,0,445000,0,2200.0,2200,95000.0,0.0,0,9600.0
10830,1.0,2.0,1.0,3.0,2.0,1.0,2.0,8,2.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,2.0,1.0,1,2.0,3.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,201806,53,2.0,1.0,0,0,0,0,0,269000.0,0,0,202000,2100.0,0,35000.0,0.0,0,2000.0
11118,1.0,2.0,2.0,3.0,2.0,1.0,1.0,9,1.0,0.0,2.0,1.0,2.0,1.0,4.0,3.0,1,3.0,2.0,2.0,1,2.0,7.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,201902,55,1.0,1.0,0,0,0,0,0,819000.0,0,0,243000,1900.0,0,134000.0,0.0,0,2000.0
11268,1.0,2.0,1.0,3.0,2.0,2.0,1.0,9,3.0,0.0,2.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,3.0,7.0,1.0,1.0,4.0,0.0,3.0,0.0,201711,44,2.0,5.0,0,0,0,0,0,548000.0,0,556000,317000,2400.0,2400,150000.0,0.0,0,5200.0
11372,2.0,2.0,1.0,2.0,2.0,1.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,201802,36,2.0,2.0,0,0,0,0,0,1345000.0,0,1366000,466000,3700.0,3700,375000.0,0.0,0,3900.0
11685,1.0,2.0,1.0,3.0,2.0,2.0,1.0,9,1.0,0.0,2.0,1.0,2.0,2.0,4.0,3.0,1,3.0,2.0,1.0,1,2.0,3.0,7.0,1.0,1.0,4.0,0.0,3.0,0.0,201801,73,2.0,5.0,0,0,0,0,0,559000.0,0,0,349000,2600.0,2600,125000.0,0.0,0,5100.0
11726,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,201802,27,2.0,2.0,0,0,0,0,0,1050000.0,0,1078000,341000,2700.0,2700,359000.0,0.0,0,3500.0
11776,2.0,2.0,1.0,1.0,2.0,2.0,1.0,9,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,201804,29,2.0,1.0,0,0,0,0,0,1270000.0,0,1280000,461000,3800.0,3800,359000.0,240.0,0,3900.0
11782,2.0,2.0,1.0,3.0,2.0,1.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,201802,36,2.0,2.0,0,0,0,0,0,1065000.0,0,0,424000,3300.0,3300,329000.0,0.0,0,4100.0
11867,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,201804,27,2.0,2.0,0,0,0,0,0,1412000.0,0,1412000,468000,3700.0,3700,375000.0,0.0,0,3700.0
11951,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,201802,27,2.0,2.0,0,0,0,0,0,1050000.0,0,1049000,0,2700.0,2700,315000.0,0.0,0,3900.0
11994,1.0,2.0,1.0,2.0,2.0,2.0,1.0,9,3.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,1,3.0,2.0,1.0,1,2.0,3.0,7.0,1.0,1.0,3.0,0.0,3.0,0.0,201806,43,2.0,5.0,0,0,0,0,0,566000.0,0,578000,327000,2500.0,2500,120000.0,0.0,0,5300.0
12147,1.0,2.0,2.0,2.0,2.0,1.0,1.0,9,4.0,0.0,2.0,1.0,2.0,1.0,4.0,3.0,1,3.0,2.0,2.0,2,2.0,7.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,201606,53,1.0,1.0,0,0,0,0,0,425000.0,0,0,281000,2500.0,2500,154000.0,0.0,0,4000.0
12207,1.0,2.0,1.0,3.0,2.0,2.0,1.0,9,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1,3.0,2.0,1.0,1,2.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,201710,27,2.0,1.0,0,0,0,0,0,980000.0,0,1010000,376000,2500.0,2500,150000.0,0.0,0,4900.0
12398,2.0,2.0,1.0,2.0,2.0,1.0,1.0,9,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,201809,36,2.0,2.0,0,0,0,0,0,1000000.0,0,1000000,297000,2400.0,2400,359000.0,0.0,0,3700.0
